Name,Type,Capacity,Speed,URL
USB Flash Drive Mirex UNIT 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_UNIT_32GB-1648845.html
USB Flash Drive Apacer AH333 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/apacer/Apacer_AH333_64GB-1669005.html
USB Flash Drive Apacer AH333 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/apacer/Apacer_AH333_32GB-1669009.html
USB Flash Drive SmartBuy Quartz 8GB,USB 2.0,8 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Quartz_8GB-1709167.html
USB Flash Drive SmartBuy Quartz 16GB,USB 2.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Quartz_16GB-1709169.html
USB Flash Drive SmartBuy Quartz 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Quartz_32GB-1709171.html
USB Flash Drive Sandisk Ultra Dual USB Drive 3.0 32GB,USB 3.0/microUSB,32 Гб,130 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/Sandisk_Ultra_Dual_USB_Drive_30_32GB-1796563.html
USB Flash Drive Mirex KNIGHT 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_KNIGHT_64GB-1796855.html
USB Flash Drive Transcend JetFlash 880 32Gb,USB 3.0/microUSB,32 Гб,,https://komp.1k.by/storage-usbflashdrives/transcend/Transcend_JetFlash_880_32Gb-1827515.html
USB Flash Drive SmartBuy Quartz 64GB [SB64GBQZ-V],USB 2.0,64 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Quartz_64GB_SB64GBQZ_V-1994829.html
USB Flash Drive SmartBuy Paean 16GB,USB 2.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Paean_16GB-1994863.html
USB Flash Drive SmartBuy Paean 8GB,USB 2.0,8 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Paean_8GB-1994865.html
USB Flash Drive Silicon Power Blaze B50 64GB,USB 3.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Blaze_B50_64GB-1994887.html
USB Flash Drive Silicon Power Blaze B50 32GB,USB 3.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Blaze_B50_32GB-1994889.html
USB Flash Drive Apacer AH115 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/apacer/Apacer_AH115_64GB-2227031.html
USB Flash Drive Apacer AH115 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/apacer/Apacer_AH115_32GB-2227033.html
USB Flash Drive Sandisk Ultra Flair USB 3.0 32GB,USB 3.0,32 Гб,150 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/Sandisk_Ultra_Flair_USB_30_32GB-2331595.html
USB Flash Drive SmartBuy Lara 16GB,USB 2.0,16 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Lara_16GB-2353823.html
USB Flash Drive SmartBuy Lara 32GB,USB 2.0,32 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Lara_32GB-2353825.html
USB Flash Drive SmartBuy Lara 8GB,USB 2.0,8 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Lara_8GB-2353827.html
USB Flash Drive Silicon Power Blaze B02 64GB,USB 3.1,64 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Blaze_B02_64GB-2426997.html
USB Flash Drive Silicon Power Blaze B02 16GB,USB 3.1,16 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Blaze_B02_16GB-2427001.html
USB Flash Drive Silicon Power Ultima U02 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Ultima_U02_64GB-2427005.html
USB Flash Drive Silicon Power Ultima U02 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Ultima_U02_32GB-2427007.html
USB Flash Drive Silicon Power Ultima U02 16GB,USB 2.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Ultima_U02_16GB-2427009.html
USB Flash Drive OltraMax 250 16GB,USB 2.0,16 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/oltramax/OltraMax_250_16GB-2523039.html
USB Flash Drive OltraMax 230 16GB,USB 2.0,16 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/oltramax/OltraMax_230_16GB-2523055.html
USB Flash Drive Sandisk Ultra USB Type-C 128GB,USB 3.1 Type-C,128 Гб,150 Мб/с,https://komp.1k.by/storage-usbflashdrives/sandisk/Sandisk_Ultra_USB_Type_C_128GB-2523221.html
USB Flash Drive SmartBuy POKO 8GB,USB 2.0/microUSB,8 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_POKO_8GB-2572465.html
USB Flash Drive ADATA UV210 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/adata/ADATA_UV210_32GB-2582637.html
USB Flash Drive Silicon Power Blaze B21 16GB,USB 3.1,16 Гб,,https://komp.1k.by/storage-usbflashdrives/siliconpower/Silicon_Power_Blaze_B21_16GB-2598827.html
USB Flash Drive GoodRAM UTS3 128GB,USB 3.1,128 Гб,60 Мб/с,https://komp.1k.by/storage-usbflashdrives/goodram/GoodRAM_UTS3_128GB-2716319.html
USB Flash Drive Mirex Color Blade Line 32GB (13600-FMULBK32),USB 2.0,32 Гб,18 Мб/с,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_Color_Blade_Line_32GB_13600_FMULBK32-2975173.html
USB Flash Drive Mirex Color Blade Line 4GB (13600-FMULBK04),USB 2.0,4 Гб,18 Мб/с,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_Color_Blade_Line_4GB_13600_FMULBK04-2975175.html
USB Flash Drive Mirex Color Blade Line 8GB (13600-FMULBK08),USB 2.0,8 Гб,18 Мб/с,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_Color_Blade_Line_8GB_13600_FMULBK08-2975177.html
